year,quarter,citymarketid_1,citymarketid_2,city1,city2,airportid_1,airportid_2,airport_1,airport_2,nsmiles,fare,Geocoded_City1,Geocoded_City2,tbl1apk,period
2025,1,32575,33192,"Los Angeles, CA (Metropolitan Area)","Sacramento, CA",13891,14893,ONT,SMF,404,161.0,"(34.052238, -118.243344)","(38.582087, -121.50012)",202411389114893ONTSMF,Post-Pandemic
2025,1,30194,31638,"Dallas/Fort Worth, TX","Fresno, CA",11298,11638,DFW,FAT,1325,347.18,"(40.11086, -77.035636)","(36.731654, -119.785856)",202341129811638DFWFAT,Post-Pandemic
2025,1,30194,31703,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",11259,12478,DAL,JFK,1428,331.57,"(40.11086, -77.035636)","(40.123164, -75.333718)",202411125912478DALJFK,Post-Pandemic
2025,1,30721,32575,"Boston, MA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",10721,12892,BOS,LAX,2611,418.5,"(42.358894, -71.056742)","(34.052238, -118.243344)",202411072112892BOSLAX,Post-Pandemic
2025,1,30977,31703,"Chicago, IL","New York City, NY (Metropolitan Area)",13232,12197,MDW,HPN,773,178.77,"(41.775002, -87.696388)","(40.123164, -75.333718)",202411323212197MDWHPN,Post-Pandemic
2025,1,33851,32457,"Oklahoma City, OK","San Francisco, CA (Metropolitan Area)",13851,14831,OKC,SJC,1384,153.52,"(35.468494, -97.521264)","(37.78008, -122.420168)",202031385114831OKCSJC,Pre-Pandemic
2025,1,31135,31703,"Myrtle Beach, SC","New York City, NY (Metropolitan Area)",13577,12953,MYR,LGA,601,153.95,"(33.68785, -78.883852)","(40.123164, -75.333718)",202411357712953MYRLGA,Post-Pandemic
2025,1,30647,32575,"Cleveland, OH (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",11042,12892,CLE,LAX,2073,280.42,"(41.505546, -81.6915)","(34.052238, -118.243344)",202411104212892CLELAX,Post-Pandemic
2025,1,31703,30559,"New York City, NY (Metropolitan Area)","Seattle, WA",12478,14747,JFK,SEA,2422,318.02,"(40.123164, -75.333718)","(47.603229, -122.33028)",202411247814747JFKSEA,Post-Pandemic
2025,1,31986,31703,"Grand Rapids, MI","New York City, NY (Metropolitan Area)",11986,12478,GRR,JFK,656,294.6,"(47.925705, -97.036068)","(40.123164, -75.333718)",202411198612478GRRJFK,Post-Pandemic
2025,1,30721,31453,"Boston, MA (Metropolitan Area)","Houston, TX",13296,12191,MHT,HOU,1609,286.72,"(42.358894, -71.056742)","(29.760803, -95.369506)",202411329612191MHTHOU,Post-Pandemic
2025,1,30977,34262,"Chicago, IL","Palm Springs, CA",13232,14262,MDW,PSP,1657,216.82,"(41.775002, -87.696388)","(33.830302, -116.546843)",202411323214262MDWPSP,Post-Pandemic
2025,1,30693,32457,"Nashville, TN","San Francisco, CA (Metropolitan Area)",10693,14831,BNA,SJC,1969,293.42,"(36.166687, -86.779932)","(37.78008, -122.420168)",202411069314831BNASJC,Post-Pandemic
2025,1,31295,31453,"Detroit, MI","Houston, TX",11433,12266,DTW,IAH,1092,219.23,"(42.332916, -83.047853)","(29.760803, -95.369506)",202411143312266DTWIAH,Post-Pandemic
2025,1,31057,32457,"Charlotte, NC","San Francisco, CA (Metropolitan Area)",11057,13796,CLT,OAK,2296,252.85,"(35.222936, -80.840161)","(37.78008, -122.420168)",202411105713796CLTOAK,Post-Pandemic
2025,1,30977,31066,"Chicago, IL","Columbus, OH",13930,11066,ORD,CMH,296,203.45,"(41.775002, -87.696388)","(39.962649, -82.996216)",202411393011066ORDCMH,Post-Pandemic
2025,1,30977,33570,"Chicago, IL","San Diego, CA",13930,14679,ORD,SAN,1728,329.41,"(41.775002, -87.696388)","(32.71576, -117.163817)",202411393014679ORDSAN,Post-Pandemic
2025,1,30977,33105,"Chicago, IL","Cincinnati, OH",13930,11193,ORD,CVG,264,218.69,"(41.775002, -87.696388)","(39.104427, -84.513808)",202411393011193ORDCVG,Post-Pandemic
2025,1,31703,30852,"New York City, NY (Metropolitan Area)","Washington, DC (Metropolitan Area)",12953,10821,LGA,BWI,234,154.28,"(40.123164, -75.333718)","(38.892062, -77.019912)",202411295310821LGABWI,Post-Pandemic
2025,1,31650,30466,"Minneapolis/St. Paul, MN","Phoenix, AZ",13487,10466,MSP,AZA,1276,134.95,"(44.977479, -93.264346)","(30.406931, -87.217578)",202411348710466MSPAZA,Post-Pandemic
2025,1,30397,32467,"Atlanta, GA (Metropolitan Area)","Miami, FL (Metropolitan Area)",10397,11697,ATL,FLL,594,148.42,"(33.748547, -84.391502)","(44.977479, -93.264346)",202411039711697ATLFLL,Post-Pandemic
2025,1,30721,30792,"Boston, MA (Metropolitan Area)","Buffalo, NY",13296,10792,MHT,BUF,395,233.36,"(42.358894, -71.056742)","(39.945422, -78.64671)",202411329610792MHTBUF,Post-Pandemic
2025,1,30785,31703,"Burlington, VT","New York City, NY (Metropolitan Area)",10785,12391,BTV,ISP,266,293.2,"(44.475949, -73.212481)","(40.123164, -75.333718)",202231078512391BTVISP,During-Pandemic
2025,1,31453,31481,"Houston, TX","Panama City, FL",12191,11481,HOU,ECP,572,315.55,"(29.760803, -95.369506)","(30.185159, -85.73078)",202231219111481HOUECP,During-Pandemic
2025,1,32575,34492,"Los Angeles, CA (Metropolitan Area)","Raleigh/Durham, NC",14908,14492,SNA,RDU,2239,368.08,"(34.052238, -118.243344)","(42.673348, -72.179683)",202411490814492SNARDU,Post-Pandemic
2025,1,34100,32457,"Philadelphia, PA","San Francisco, CA (Metropolitan Area)",14100,14771,PHL,SFO,2521,383.63,"(39.951061, -75.16562)","(37.78008, -122.420168)",202411410014771PHLSFO,Post-Pandemic
2025,1,30977,33495,"Chicago, IL","New Orleans, LA",13232,13495,MDW,MSY,837,177.5,"(41.775002, -87.696388)","(29.950621, -90.074948)",202411323213495MDWMSY,Post-Pandemic
2025,1,32575,31123,"Los Angeles, CA (Metropolitan Area)","St. Louis, MO",13891,15016,ONT,STL,1592,291.68,"(34.052238, -118.243344)","(38.630276, -90.200309)",202411389115016ONTSTL,Post-Pandemic
2025,1,30721,34027,"Boston, MA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",13296,14027,MHT,PBI,1222,260.43,"(42.358894, -71.056742)","(33.90976, -98.500854)",202411329614027MHTPBI,Post-Pandemic
2025,1,30666,32457,"Bellingham, WA","San Francisco, CA (Metropolitan Area)",10666,13796,BLI,OAK,790,131.0,"(41.698264, -88.077915)","(37.78008, -122.420168)",202331066613796BLIOAK,Post-Pandemic
2025,1,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",10800,14747,BUR,SEA,978,207.89,"(34.052238, -118.243344)","(47.603229, -122.33028)",202411080014747BURSEA,Post-Pandemic
2025,1,33044,32467,"Louisville, KY","Miami, FL (Metropolitan Area)",14730,11697,SDF,FLL,910,162.38,"(38.256078, -85.751569)","(44.977479, -93.264346)",202411473011697SDFFLL,Post-Pandemic
2025,1,30713,32575,"Boise, ID","Los Angeles, CA (Metropolitan Area)",10713,12892,BOI,LAX,688,215.6,"(43.597772, -83.884521)","(34.052238, -118.243344)",202411071312892BOILAX,Post-Pandemic
2025,1,33198,31703,"Kansas City, MO","New York City, NY (Metropolitan Area)",13198,15070,MCI,SWF,1148,213.5,"(39.099792, -94.578559)","(40.123164, -75.333718)",202131319815070MCISWF,During-Pandemic
2025,1,31834,32575,"Fayetteville, AR","Los Angeles, CA (Metropolitan Area)",15919,10800,XNA,BUR,1371,424.89,"(36.061928, -94.160583)","(34.052238, -118.243344)",202411591910800XNABUR,Post-Pandemic
