year,quarter,citymarketid_1,citymarketid_2,city1,city2,airportid_1,airportid_2,airport_1,airport_2,nsmiles,fare,Geocoded_City1,Geocoded_City2,tbl1apk,period
2025,2,33105,32575,"Cincinnati, OH","Los Angeles, CA (Metropolitan Area)",11193,14908,CVG,SNA,1900,304.12,"39.1184591715016, -84.4916057804775","33.79226917070069, -118.204909485967",202411119314908CVGSNA,Post-Pandemic
2025,2,31453,30466,"Houston, TX","Phoenix, AZ",12191,10466,HOU,AZA,1020,90.63,"29.75402924471362, -95.25854681876497","33.45644253857997, -112.08747472975207",202411219110466HOUAZA,Post-Pandemic
2025,2,33495,31703,"New Orleans, LA","New York City, NY (Metropolitan Area)",13495,12197,MSY,HPN,1218,207.34,"29.968452489061857, -90.10275784325407","40.722551776084316, -73.97924863938653",202411349512197MSYHPN,Post-Pandemic
2025,2,31703,30436,"New York City, NY (Metropolitan Area)","Tucson, AZ",15070,15376,SWF,TUS,2173,310.85,"40.722551776084316, -73.97924863938653","32.244566114714374, -110.96056754445574",202011507015376SWFTUS,Pre-Pandemic
2025,2,31703,33195,"New York City, NY (Metropolitan Area)","Tampa, FL (Metropolitan Area)",15070,15304,SWF,TPA,1055,38.63,"40.722551776084316, -73.97924863938653","28.042586526893363, -82.48802351156911",202241507015304SWFTPA,During-Pandemic
2025,2,30647,31703,"Cleveland, OH (Metropolitan Area)","New York City, NY (Metropolitan Area)",11042,12391,CLE,ISP,459,193.13,"41.49657498253431, -81.70037642525823","40.722551776084316, -73.97924863938653",202411104212391CLEISP,Post-Pandemic
2025,2,31986,31703,"Grand Rapids, MI","New York City, NY (Metropolitan Area)",11986,12953,GRR,LGA,656,247.22,"42.975953635996774, -85.67938935852456","40.722551776084316, -73.97924863938653",202411198612953GRRLGA,Post-Pandemic
2025,2,30194,33667,"Dallas/Fort Worth, TX","Norfolk, VA (Metropolitan Area)",11259,13931,DAL,ORF,1212,227.29,"32.78949295097016, -96.9610454262068","36.8740444347547, -76.21004560086016",202411125913931DALORF,Post-Pandemic
2025,2,30713,32457,"Boise, ID","San Francisco, CA (Metropolitan Area)",10713,13796,BOI,OAK,523,140.79,"43.60983163584366, -116.22987761101399","37.71088023891693, -122.08942035984728",202411071313796BOIOAK,Post-Pandemic
2025,2,31703,32323,"New York City, NY (Metropolitan Area)","Wilmington, NC",12391,12323,ISP,ILM,522,299.01,"40.722551776084316, -73.97924863938653","34.214172374393044, -77.89465948983427",202231239112323ISPILM,During-Pandemic
2025,2,31066,31703,"Columbus, OH","New York City, NY (Metropolitan Area)",11066,15070,CMH,SWF,519,97.85,"39.97936225013163, -83.00459328425883","40.722551776084316, -73.97924863938653",202131106615070CMHSWF,During-Pandemic
2025,2,30647,31453,"Cleveland, OH (Metropolitan Area)","Houston, TX",10874,12191,CAK,HOU,1106,583.65,"41.49657498253431, -81.70037642525823","29.75402924471362, -95.25854681876497",202411087412191CAKHOU,Post-Pandemic
2025,2,30977,34685,"Chicago, IL","Savannah, GA",13930,14685,ORD,SAV,773,264.61,"41.87456337224408, -87.6626642168663","32.05045445363894, -81.11803804984433",202411393014685ORDSAV,Post-Pandemic
2025,2,33105,32457,"Cincinnati, OH","San Francisco, CA (Metropolitan Area)",11193,13796,CVG,OAK,2036,320.71,"39.1184591715016, -84.4916057804775","37.71088023891693, -122.08942035984728",202411119313796CVGOAK,Post-Pandemic
2025,2,33105,30852,"Cincinnati, OH","Washington, DC (Metropolitan Area)",11193,11278,CVG,DCA,430,173.77,"39.1184591715016, -84.4916057804775","39.06854619558678, -77.28209870558013",202411119311278CVGDCA,Post-Pandemic
2025,2,32467,32457,"Miami, FL (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",11697,13796,FLL,OAK,2585,208.45,"25.818657926992138, -80.30089992008288","37.71088023891693, -122.08942035984728",202411169713796FLLOAK,Post-Pandemic
2025,2,30721,33192,"Boston, MA (Metropolitan Area)","Sacramento, CA",13296,14893,MHT,SMF,2636,401.26,"42.354802625389624, -71.11763566666443","38.5749272937173, -121.5125250600104",202341329614893MHTSMF,Post-Pandemic
2025,2,30977,31703,"Chicago, IL","New York City, NY (Metropolitan Area)",13930,11618,ORD,EWR,773,191.63,"41.87456337224408, -87.6626642168663","40.722551776084316, -73.97924863938653",202411393011618ORDEWR,Post-Pandemic
2025,2,31703,34614,"New York City, NY (Metropolitan Area)","Salt Lake City, UT",12478,14869,JFK,SLC,2022,358.65,"40.722551776084316, -73.97924863938653","40.760259272294405, -111.88118288803257",202411247814869JFKSLC,Post-Pandemic
2025,2,31703,30466,"New York City, NY (Metropolitan Area)","Phoenix, AZ",11618,14107,EWR,PHX,2189,298.61,"40.722551776084316, -73.97924863938653","33.45644253857997, -112.08747472975207",202411161814107EWRPHX,Post-Pandemic
2025,2,30994,32467,"Charleston, SC","Miami, FL (Metropolitan Area)",10994,11697,CHS,FLL,489,126.27,"32.77566489249234, -79.95065494991243","25.818657926992138, -80.30089992008288",202411099411697CHSFLL,Post-Pandemic
2025,2,30721,33044,"Boston, MA (Metropolitan Area)","Louisville, KY",14307,14730,PVD,SDF,829,294.12,"42.354802625389624, -71.11763566666443","38.24602088207979, -85.777273302663",202341430714730PVDSDF,Post-Pandemic
2025,2,32575,31454,"Los Angeles, CA (Metropolitan Area)","Orlando, FL",12954,13204,LGB,MCO,2218,147.29,"33.79226917070069, -118.204909485967","28.548125486782045, -81.37833290308744",202411295413204LGBMCO,Post-Pandemic
2025,2,32467,30466,"Miami, FL (Metropolitan Area)","Phoenix, AZ",13303,14107,MIA,PHX,1972,361.89,"25.818657926992138, -80.30089992008288","33.45644253857997, -112.08747472975207",202411330314107MIAPHX,Post-Pandemic
2025,2,32575,33342,"Los Angeles, CA (Metropolitan Area)","Milwaukee, WI",12892,13342,LAX,MKE,1756,309.73,"33.79226917070069, -118.204909485967","43.049691576007966, -87.9234915192468",202411289213342LAXMKE,Post-Pandemic
2025,2,32575,31703,"Los Angeles, CA (Metropolitan Area)","New York City, NY (Metropolitan Area)",12954,12953,LGB,LGA,2510,196.85,"33.79226917070069, -118.204909485967","40.722551776084316, -73.97924863938653",202411295412953LGBLGA,Post-Pandemic
2025,2,30257,30977,"Albany, NY","Chicago, IL",10257,13930,ALB,ORD,723,215.58,"42.65262847850066, -73.76677558995311","41.87456337224408, -87.6626642168663",202411025713930ALBORD,Post-Pandemic
2025,2,30721,32457,"Boston, MA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",14307,14771,PVD,SFO,2704,456.88,"42.354802625389624, -71.11763566666443","37.71088023891693, -122.08942035984728",202411430714771PVDSFO,Post-Pandemic
2025,2,32575,32467,"Los Angeles, CA (Metropolitan Area)","Miami, FL (Metropolitan Area)",14908,11697,SNA,FLL,2343,370.55,"33.79226917070069, -118.204909485967","25.818657926992138, -80.30089992008288",202411490811697SNAFLL,Post-Pandemic
2025,2,30785,30852,"Burlington, VT","Washington, DC (Metropolitan Area)",10785,11278,BTV,DCA,441,256.89,"44.481396025359444, -73.22184565791989","39.06854619558678, -77.28209870558013",202411078511278BTVDCA,Post-Pandemic
